year,region,public_university,public_polytechnic,private_university,private_polytechnic
2016 / 2017,Área Metropolitana de Lisboa,84944.0,23303.0,22963.0,6369.0
2016 / 2017,Área Metropolitana de Lisboa,84944.0,23303.0,22963.0,6369.0
2016 / 2017,Alentejo,6063.0,8431.0,,230.0
2016 / 2017,Alentejo Litoral,,,,55.0
2016 / 2017,Baixo Alentejo,,2562.0,,
2016 / 2017,Lezíria do Tejo,,3677.0,,175.0
2016 / 2017,Alto Alentejo,,1779.0,,
2016 / 2017,Alentejo Central,6063.0,413.0,,
2016 / 2017,Algarve,3947.0,3833.0,325.0,122.0
2016 / 2017,Algarve,3947.0,3833.0,325.0,122.0
2016 / 2017,Região Autónoma dos Açores,2398.0,417.0,,
2016 / 2017,Região Autónoma dos Açores,2398.0,417.0,,
2016 / 2017,Região Autónoma dos Açores,2398.0,417.0,,
2016 / 2017,Região Autónoma da Madeira,2572.0,234.0,,444.0
2016 / 2017,Região Autónoma da Madeira,2572.0,234.0,,444.0
2016 / 2017,Região Autónoma da Madeira,2572.0,234.0,,444.0
2015 / 2016,Portugal,191633.0,106251.0,42981.0,15534.0
2015 / 2016,Continente,186619.0,105699.0,42981.0,15108.0
2015 / 2016,Norte,54235.0,35069.0,18143.0,7982.0
2015 / 2016,Alto Minho,,3888.0,182.0,45.0
2015 / 2016,Cávado,17030.0,4212.0,943.0,
2015 / 2016,Ave,,,577.0,1013.0
2015 / 2016,Área Metropolitana do Porto,30441.0,18526.0,16441.0,6628.0
2015 / 2016,Alto Tâmega,,,,184.0
2015 / 2016,Tâmega e Sousa,,1277.0,,112.0
2015 / 2016,Douro,6764.0,875.0,,
2015 / 2016,Terras de Trás-os-Montes,,6291.0,,
2015 / 2016,Centro,38612.0,35954.0,1728.0,618.0
2015 / 2016,Oeste,,2575.0,,87.0
2015 / 2016,Região de Aveiro,10047.0,2434.0,,185.0
2015 / 2016,Região de Coimbra,21909.0,11759.0,1258.0,
2015 / 2016,Região de Leiria,,6786.0,,155.0
2015 / 2016,Viseu Dão Lafões,,4187.0,470.0,172.0
2015 / 2016,Beira Baixa,,3784.0,,
2015 / 2016,Médio Tejo,,1855.0,,19.0
2015 / 2016,Beiras e Serra da Estrela,6656.0,2574.0,,
2015 / 2016,Área Metropolitana de Lisboa,84705.0,22891.0,22744.0,6212.0
2015 / 2016,Área Metropolitana de Lisboa,84705.0,22891.0,22744.0,6212.0
2015 / 2016,Alentejo,5425.0,8024.0,,172.0
2015 / 2016,Alentejo Litoral,,,,59.0
2015 / 2016,Baixo Alentejo,,2358.0,,
2015 / 2016,Lezíria do Tejo,,3649.0,,113.0
2015 / 2016,Alto Alentejo,,1676.0,,
2015 / 2016,Alentejo Central,5425.0,341.0,,
2015 / 2016,Algarve,3642.0,3761.0,366.0,124.0
2015 / 2016,Algarve,3642.0,3761.0,366.0,124.0
2015 / 2016,Região Autónoma dos Açores,2357.0,369.0,,
2015 / 2016,Região Autónoma dos Açores,2357.0,369.0,,
2015 / 2016,Região Autónoma dos Açores,2357.0,369.0,,
2015 / 2016,Região Autónoma da Madeira,2657.0,183.0,,426.0
