year,region,public_university,public_polytechnic,private_university,private_polytechnic
1997 / 1998,Algarve,3842.0,4233.0,533.0,108.0
1997 / 1998,Algarve,3842.0,4233.0,533.0,108.0
1997 / 1998,Região Autónoma dos Açores,2802.0,303.0,,
1997 / 1998,Região Autónoma dos Açores,2802.0,303.0,,
1997 / 1998,Região Autónoma dos Açores,2802.0,303.0,,
1997 / 1998,Região Autónoma da Madeira,2095.0,20.0,74.0,456.0
1997 / 1998,Região Autónoma da Madeira,2095.0,20.0,74.0,456.0
1997 / 1998,Região Autónoma da Madeira,2095.0,20.0,74.0,456.0
"Alunas/os inscritas/os no ensino superior (N.º) por Localização geográfica (NUTS - 2013), Sexo e Tipo de subsistemas; Anual - Direção-Geral de Estatísticas da Educação e Ciência",,,,,
"Alunas/os inscritas/os no ensino superior (N.º) por Localização geográfica (NUTS - 2013), Sexo e Tipo de subsistemas; Anual - Direção-Geral de Estatísticas da Educação e Ciência",,,,,
Nota(s):,,,,,
"(1) A partir de 1 de janeiro de 2015 entrou em vigor uma nova versão das NUTS (NUTS 2013). Ao nível da NUTS II ocorreu apenas uma alteração de designação em ""Lisboa"" que passou a ser designada por ""Área Metropolitana de Lisboa"".",,,,,
"(1) A partir de 1 de janeiro de 2015 entrou em vigor uma nova versão das NUTS (NUTS 2013). Ao nível da NUTS II ocorreu apenas uma alteração de designação em ""Lisboa"" que passou a ser designada por ""Área Metropolitana de Lisboa"".",,,,,
Sinais convencionais:,,,,,
-: Dado nulo ou não aplicável,,,,,
-: Dado nulo ou não aplicável,,,,,
Última atualização destes dados: 07 de outubro de 2022,,,,,
