year,region,proportion_STEM_higher_ed
2009 / 2010,Santa Cruz,
2009 / 2010,Santana,
2009 / 2010,São Vicente,
2008 / 2009,Portugal,30.6
2008 / 2009,Continente,30.7
2008 / 2009,Norte,31.0
2008 / 2009,Alto Minho,36.1
2008 / 2009,Arcos de Valdevez,
2008 / 2009,Caminha,
2008 / 2009,Melgaço,
2008 / 2009,Monção,
2008 / 2009,Paredes de Coura,
2008 / 2009,Ponte da Barca,
2008 / 2009,Ponte de Lima,27.5
2008 / 2009,Valença,44.2
2008 / 2009,Viana do Castelo,32.9
2008 / 2009,Vila Nova de Cerveira,89.9
2008 / 2009,Cávado,41.5
2008 / 2009,Amares,
2008 / 2009,Barcelos,17.6
2008 / 2009,Braga,44.9
2008 / 2009,Esposende,
2008 / 2009,Terras de Bouro,
2008 / 2009,Vila Verde,
2008 / 2009,Ave,21.0
2008 / 2009,Cabeceiras de Basto,
2008 / 2009,Fafe,7.8
2008 / 2009,Guimarães,
2008 / 2009,Mondim de Basto,
2008 / 2009,Póvoa de Lanhoso,
2008 / 2009,Vieira do Minho,
2008 / 2009,Vila Nova de Famalicão,34.4
2008 / 2009,Vizela,
2008 / 2009,Área Metropolitana do Porto,28.9
2008 / 2009,Arouca,
2008 / 2009,Espinho,
2008 / 2009,Gondomar,
2008 / 2009,Maia,5.8
2008 / 2009,Matosinhos,
2008 / 2009,Oliveira de Azeméis,
2008 / 2009,Paredes,3.5
2008 / 2009,Porto,36.1
2008 / 2009,Póvoa de Varzim,
2008 / 2009,Santa Maria da Feira,13.7
2008 / 2009,Santo Tirso,
2008 / 2009,São João da Madeira,
2008 / 2009,Trofa,
2008 / 2009,Vale de Cambra,
2008 / 2009,Valongo,
2008 / 2009,Vila do Conde,22.0
2008 / 2009,Vila Nova de Gaia,12.9
2008 / 2009,Alto Tâmega,
2008 / 2009,Boticas,
2008 / 2009,Chaves,
2008 / 2009,Montalegre,
2008 / 2009,Ribeira de Pena,
2008 / 2009,Valpaços,
2008 / 2009,Vila Pouca de Aguiar,
2008 / 2009,Tâmega e Sousa,28.1
2008 / 2009,Amarante,
2008 / 2009,Baião,
2008 / 2009,Castelo de Paiva,
2008 / 2009,Celorico de Basto,
2008 / 2009,Cinfães,
2008 / 2009,Felgueiras,28.1
2008 / 2009,Lousada,
2008 / 2009,Marco de Canaveses,
2008 / 2009,Paços de Ferreira,
2008 / 2009,Penafiel,
2008 / 2009,Resende,
2008 / 2009,Douro,35.9
2008 / 2009,Alijó,
2008 / 2009,Armamar,
2008 / 2009,Carrazeda de Ansiães,
2008 / 2009,Freixo de Espada à Cinta,
2008 / 2009,Lamego,9.9
2008 / 2009,Mesão Frio,
2008 / 2009,Moimenta da Beira,
2008 / 2009,Murça,
2008 / 2009,Penedono,
2008 / 2009,Peso da Régua,
2008 / 2009,Sabrosa,
2008 / 2009,Santa Marta de Penaguião,
2008 / 2009,São João da Pesqueira,
2008 / 2009,Sernancelhe,
2008 / 2009,Tabuaço,
2008 / 2009,Tarouca,
2008 / 2009,Torre de Moncorvo,
2008 / 2009,Vila Nova de Foz Côa,
2008 / 2009,Vila Real,39.1
2008 / 2009,Terras de Trás-os-Montes,27.0
2008 / 2009,Alfândega da Fé,
2008 / 2009,Bragança,36.0
2008 / 2009,Macedo de Cavaleiros,
2008 / 2009,Miranda do Douro,
2008 / 2009,Mirandela,8.0
2008 / 2009,Mogadouro,
2008 / 2009,Vila Flor,
2008 / 2009,Vimioso,
2008 / 2009,Vinhais,
2008 / 2009,Centro,33.6
2008 / 2009,Oeste,17.5
2008 / 2009,Alcobaça,
2008 / 2009,Alenquer,
2008 / 2009,Arruda dos Vinhos,
2008 / 2009,Bombarral,
2008 / 2009,Cadaval,
2008 / 2009,Caldas da Rainha,4.4
2008 / 2009,Lourinhã,
2008 / 2009,Nazaré,
2008 / 2009,Óbidos,
2008 / 2009,Peniche,30.9
2008 / 2009,Sobral de Monte Agraço,
2008 / 2009,Torres Vedras,15.4
2008 / 2009,Região de Aveiro,45.5
2008 / 2009,Águeda,35.9
2008 / 2009,Albergaria-a-Velha,
2008 / 2009,Anadia,
2008 / 2009,Aveiro,46.1
2008 / 2009,Estarreja,
2008 / 2009,Ílhavo,
2008 / 2009,Murtosa,
2008 / 2009,Oliveira do Bairro,
2008 / 2009,Ovar,
2008 / 2009,Sever do Vouga,
2008 / 2009,Vagos,
2008 / 2009,Região de Coimbra,32.7
2008 / 2009,Arganil,
2008 / 2009,Cantanhede,
2008 / 2009,Coimbra,32.9
2008 / 2009,Condeixa-a-Nova,
2008 / 2009,Figueira da Foz,
2008 / 2009,Góis,
2008 / 2009,Lousã,
2008 / 2009,Mealhada,
2008 / 2009,Mira,
2008 / 2009,Miranda do Corvo,
2008 / 2009,Montemor-o-Velho,
2008 / 2009,Mortágua,
2008 / 2009,Oliveira do Hospital,39.0
2008 / 2009,Pampilhosa da Serra,
2008 / 2009,Penacova,
2008 / 2009,Penela,
2008 / 2009,Soure,
2008 / 2009,Tábua,
2008 / 2009,Vila Nova de Poiares,
2008 / 2009,Região de Leiria,36.5
2008 / 2009,Alvaiázere,
2008 / 2009,Ansião,
2008 / 2009,Batalha,
2008 / 2009,Castanheira de Pêra,
2008 / 2009,Figueiró dos Vinhos,
2008 / 2009,Leiria,36.5
2008 / 2009,Marinha Grande,35.0
2008 / 2009,Pedrógão Grande,
2008 / 2009,Pombal,
2008 / 2009,Porto de Mós,
2008 / 2009,Viseu Dão Lafões,26.4
2008 / 2009,Aguiar da Beira,
2008 / 2009,Carregal do Sal,
2008 / 2009,Castro Daire,
2008 / 2009,Mangualde,
2008 / 2009,Nelas,
2008 / 2009,Oliveira de Frades,
2008 / 2009,Penalva do Castelo,
2008 / 2009,Santa Comba Dão,
2008 / 2009,São Pedro do Sul,
2008 / 2009,Sátão,
2008 / 2009,Tondela,
2008 / 2009,Vila Nova de Paiva,
2008 / 2009,Viseu,26.4
2008 / 2009,Vouzela,
2008 / 2009,Beira Baixa,28.1
2008 / 2009,Castelo Branco,34.4
2008 / 2009,Idanha-a-Nova,
2008 / 2009,Oleiros,
2008 / 2009,Penamacor,
2008 / 2009,Proença-a-Nova,
2008 / 2009,Vila Velha de Ródão,
2008 / 2009,Médio Tejo,34.6
2008 / 2009,Abrantes,55.8
2008 / 2009,Alcanena,
2008 / 2009,Constância,
2008 / 2009,Entroncamento,
2008 / 2009,Ferreira do Zêzere,
2008 / 2009,Mação,
2008 / 2009,Ourém,
2008 / 2009,Sardoal,
2008 / 2009,Sertã,
2008 / 2009,Tomar,32.9
2008 / 2009,Torres Novas,
2008 / 2009,Vila de Rei,
2008 / 2009,Vila Nova da Barquinha,
2008 / 2009,Beiras e Serra da Estrela,30.9
2008 / 2009,Almeida,
2008 / 2009,Belmonte,
2008 / 2009,Celorico da Beira,
2008 / 2009,Covilhã,36.8
2008 / 2009,Figueira de Castelo Rodrigo,
2008 / 2009,Fornos de Algodres,
2008 / 2009,Fundão,
2008 / 2009,Gouveia,
2008 / 2009,Guarda,21.6
2008 / 2009,Manteigas,
2008 / 2009,Mêda,
2008 / 2009,Pinhel,
2008 / 2009,Sabugal,
2008 / 2009,Seia,4.2
2008 / 2009,Trancoso,
2008 / 2009,Área Metropolitana de Lisboa,29.4
2008 / 2009,Área Metropolitana de Lisboa,29.4
2008 / 2009,Alcochete,
2008 / 2009,Almada,57.5
2008 / 2009,Amadora,
2008 / 2009,Barreiro,100.0
2008 / 2009,Cascais,
2008 / 2009,Lisboa,26.0
2008 / 2009,Loures,
2008 / 2009,Mafra,
2008 / 2009,Moita,
2008 / 2009,Montijo,
2008 / 2009,Odivelas,
2008 / 2009,Oeiras,41.0
2008 / 2009,Palmela,
2008 / 2009,Seixal,
2008 / 2009,Sesimbra,
2008 / 2009,Setúbal,41.1
2008 / 2009,Sintra,52.9
2008 / 2009,Vila Franca de Xira,
2008 / 2009,Alentejo,24.6
2008 / 2009,Alentejo Litoral,
2008 / 2009,Alcácer do Sal,
2008 / 2009,Grândola,
2008 / 2009,Odemira,
2008 / 2009,Santiago do Cacém,
2008 / 2009,Sines,
2008 / 2009,Baixo Alentejo,32.4
2008 / 2009,Aljustrel,
2008 / 2009,Almodôvar,
2008 / 2009,Alvito,
2008 / 2009,Barrancos,
2008 / 2009,Beja,32.4
2008 / 2009,Castro Verde,
2008 / 2009,Cuba,
2008 / 2009,Ferreira do Alentejo,
2008 / 2009,Mértola,
2008 / 2009,Moura,
2008 / 2009,Ourique,
2008 / 2009,Serpa,
2008 / 2009,Vidigueira,
2008 / 2009,Lezíria do Tejo,13.6
2008 / 2009,Almeirim,
2008 / 2009,Alpiarça,
2008 / 2009,Azambuja,
2008 / 2009,Benavente,
2008 / 2009,Cartaxo,
2008 / 2009,Chamusca,
2008 / 2009,Coruche,
2008 / 2009,Golegã,
2008 / 2009,Rio Maior,
2008 / 2009,Salvaterra de Magos,
2008 / 2009,Santarém,16.2
2008 / 2009,Alto Alentejo,14.4
2008 / 2009,Alter do Chão,
2008 / 2009,Arronches,
2008 / 2009,Avis,
2008 / 2009,Campo Maior,
2008 / 2009,Castelo de Vide,
2008 / 2009,Crato,
2008 / 2009,Elvas,1.3
2008 / 2009,Fronteira,
2008 / 2009,Gavião,
2008 / 2009,Marvão,
2008 / 2009,Monforte,
2008 / 2009,Nisa,
2008 / 2009,Ponte de Sor,
2008 / 2009,Portalegre,16.1
2008 / 2009,Sousel,
2008 / 2009,Alentejo Central,31.8
2008 / 2009,Alandroal,
2008 / 2009,Arraiolos,
2008 / 2009,Borba,
2008 / 2009,Estremoz,
2008 / 2009,Évora,31.8
2008 / 2009,Montemor-o-Novo,
2008 / 2009,Mora,
2008 / 2009,Mourão,
2008 / 2009,Portel,
2008 / 2009,Redondo,
2008 / 2009,Reguengos de Monsaraz,
2008 / 2009,Vendas Novas,
2008 / 2009,Viana do Alentejo,
2008 / 2009,Vila Viçosa,
2008 / 2009,Algarve,30.9
2008 / 2009,Algarve,30.9
2008 / 2009,Albufeira,
2008 / 2009,Alcoutim,
2008 / 2009,Aljezur,
2008 / 2009,Castro Marim,
2008 / 2009,Faro,37.3
2008 / 2009,Lagoa,
2008 / 2009,Lagos,
2008 / 2009,Loulé,5.1
2008 / 2009,Monchique,
2008 / 2009,Olhão,
2008 / 2009,Portimão,17.7
2008 / 2009,São Brás de Alportel,
2008 / 2009,Silves,
2008 / 2009,Tavira,
2008 / 2009,Vila do Bispo,
2008 / 2009,Vila Real de Santo António,
2008 / 2009,Região Autónoma dos Açores,26.4
2008 / 2009,Região Autónoma dos Açores,26.4
2008 / 2009,Região Autónoma dos Açores,26.4
2008 / 2009,Angra do Heroísmo,31.2
2008 / 2009,Calheta,
2008 / 2009,Corvo,
2008 / 2009,Horta,
2008 / 2009,Lagoa,
2008 / 2009,Lajes das Flores,
2008 / 2009,Lajes do Pico,
2008 / 2009,Madalena,
2008 / 2009,Nordeste,
2008 / 2009,Ponta Delgada,27.3
2008 / 2009,Povoação,
2008 / 2009,Ribeira Grande,
2008 / 2009,Santa Cruz da Graciosa,
2008 / 2009,Santa Cruz das Flores,
2008 / 2009,São Roque do Pico,
2008 / 2009,Velas,
2008 / 2009,Vila da Praia da Vitória,
2008 / 2009,Vila do Porto,
2008 / 2009,Vila Franca do Campo,
2008 / 2009,Região Autónoma da Madeira,26.7
2008 / 2009,Região Autónoma da Madeira,26.7
2008 / 2009,Região Autónoma da Madeira,26.7
2008 / 2009,Calheta,
2008 / 2009,Câmara de Lobos,
2008 / 2009,Funchal,26.7
2008 / 2009,Machico,
2008 / 2009,Ponta do Sol,
2008 / 2009,Porto Moniz,
2008 / 2009,Porto Santo,
2008 / 2009,Ribeira Brava,
2008 / 2009,Santa Cruz,
2008 / 2009,Santana,
2008 / 2009,São Vicente,
2007 / 2008,Portugal,30.9
2007 / 2008,Continente,31.0
2007 / 2008,Norte,31.4
2007 / 2008,Alto Minho,36.2
2007 / 2008,Arcos de Valdevez,
2007 / 2008,Caminha,
2007 / 2008,Melgaço,
2007 / 2008,Monção,
2007 / 2008,Paredes de Coura,
2007 / 2008,Ponte da Barca,
2007 / 2008,Ponte de Lima,21.1
2007 / 2008,Valença,63.1
2007 / 2008,Viana do Castelo,33.6
2007 / 2008,Vila Nova de Cerveira,88.1
2007 / 2008,Cávado,40.7
2007 / 2008,Amares,
2007 / 2008,Barcelos,17.3
2007 / 2008,Braga,43.4
2007 / 2008,Esposende,
2007 / 2008,Terras de Bouro,
2007 / 2008,Vila Verde,
2007 / 2008,Ave,20.8
2007 / 2008,Cabeceiras de Basto,
2007 / 2008,Fafe,7.0
2007 / 2008,Guimarães,
2007 / 2008,Mondim de Basto,
2007 / 2008,Póvoa de Lanhoso,
2007 / 2008,Vieira do Minho,
2007 / 2008,Vila Nova de Famalicão,36.1
2007 / 2008,Vizela,
2007 / 2008,Área Metropolitana do Porto,29.9
2007 / 2008,Arouca,
2007 / 2008,Espinho,
2007 / 2008,Gondomar,
2007 / 2008,Maia,6.1
2007 / 2008,Matosinhos,
2007 / 2008,Oliveira de Azeméis,
2007 / 2008,Paredes,2.9
2007 / 2008,Porto,37.7
2007 / 2008,Póvoa de Varzim,
2007 / 2008,Santa Maria da Feira,15.2
2007 / 2008,Santo Tirso,
2007 / 2008,São João da Madeira,
2007 / 2008,Trofa,
2007 / 2008,Vale de Cambra,
2007 / 2008,Valongo,
2007 / 2008,Vila do Conde,24.6
2007 / 2008,Vila Nova de Gaia,10.7
2007 / 2008,Alto Tâmega,
2007 / 2008,Boticas,
2007 / 2008,Chaves,
2007 / 2008,Montalegre,
2007 / 2008,Ribeira de Pena,
2007 / 2008,Valpaços,
2007 / 2008,Vila Pouca de Aguiar,
2007 / 2008,Tâmega e Sousa,28.0
2007 / 2008,Amarante,
2007 / 2008,Baião,
2007 / 2008,Castelo de Paiva,
2007 / 2008,Celorico de Basto,
2007 / 2008,Cinfães,
2007 / 2008,Felgueiras,28.0
2007 / 2008,Lousada,
2007 / 2008,Marco de Canaveses,
2007 / 2008,Paços de Ferreira,
2007 / 2008,Penafiel,
2007 / 2008,Resende,
2007 / 2008,Douro,36.4
2007 / 2008,Alijó,
2007 / 2008,Armamar,
2007 / 2008,Carrazeda de Ansiães,
2007 / 2008,Freixo de Espada à Cinta,
2007 / 2008,Lamego,8.6
2007 / 2008,Mesão Frio,
2007 / 2008,Moimenta da Beira,
2007 / 2008,Murça,
2007 / 2008,Penedono,
2007 / 2008,Peso da Régua,
2007 / 2008,Sabrosa,
2007 / 2008,Santa Marta de Penaguião,
2007 / 2008,São João da Pesqueira,
2007 / 2008,Sernancelhe,
2007 / 2008,Tabuaço,
2007 / 2008,Tarouca,
2007 / 2008,Torre de Moncorvo,
2007 / 2008,Vila Nova de Foz Côa,
2007 / 2008,Vila Real,39.8
2007 / 2008,Terras de Trás-os-Montes,26.3
2007 / 2008,Alfândega da Fé,
2007 / 2008,Bragança,36.5
2007 / 2008,Macedo de Cavaleiros,
2007 / 2008,Miranda do Douro,
2007 / 2008,Mirandela,10.4
2007 / 2008,Mogadouro,
2007 / 2008,Vila Flor,
2007 / 2008,Vimioso,
2007 / 2008,Vinhais,
2007 / 2008,Centro,34.4
2007 / 2008,Oeste,17.3
2007 / 2008,Alcobaça,
2007 / 2008,Alenquer,
2007 / 2008,Arruda dos Vinhos,
2007 / 2008,Bombarral,
2007 / 2008,Cadaval,
2007 / 2008,Caldas da Rainha,5.5
2007 / 2008,Lourinhã,
2007 / 2008,Nazaré,
2007 / 2008,Óbidos,
2007 / 2008,Peniche,33.2
2007 / 2008,Sobral de Monte Agraço,
2007 / 2008,Torres Vedras,14.6
2007 / 2008,Região de Aveiro,45.2
2007 / 2008,Águeda,29.8
2007 / 2008,Albergaria-a-Velha,
2007 / 2008,Anadia,
2007 / 2008,Aveiro,46.4
2007 / 2008,Estarreja,
2007 / 2008,Ílhavo,
2007 / 2008,Murtosa,
2007 / 2008,Oliveira do Bairro,
2007 / 2008,Ovar,
2007 / 2008,Sever do Vouga,
2007 / 2008,Vagos,
2007 / 2008,Região de Coimbra,33.7
2007 / 2008,Arganil,
2007 / 2008,Cantanhede,
2007 / 2008,Coimbra,34.0
2007 / 2008,Condeixa-a-Nova,
2007 / 2008,Figueira da Foz,
2007 / 2008,Góis,
2007 / 2008,Lousã,
2007 / 2008,Mealhada,
2007 / 2008,Mira,
2007 / 2008,Miranda do Corvo,
2007 / 2008,Montemor-o-Velho,
2007 / 2008,Mortágua,
2007 / 2008,Oliveira do Hospital,38.5
2007 / 2008,Pampilhosa da Serra,
2007 / 2008,Penacova,
2007 / 2008,Penela,
2007 / 2008,Soure,
2007 / 2008,Tábua,
2007 / 2008,Vila Nova de Poiares,
2007 / 2008,Região de Leiria,38.4
2007 / 2008,Alvaiázere,
2007 / 2008,Ansião,
2007 / 2008,Batalha,
2007 / 2008,Castanheira de Pêra,
2007 / 2008,Figueiró dos Vinhos,
2007 / 2008,Leiria,38.7
2007 / 2008,Marinha Grande,29.5
2007 / 2008,Pedrógão Grande,
2007 / 2008,Pombal,
2007 / 2008,Porto de Mós,
2007 / 2008,Viseu Dão Lafões,29.1
2007 / 2008,Aguiar da Beira,
2007 / 2008,Carregal do Sal,
2007 / 2008,Castro Daire,
2007 / 2008,Mangualde,
2007 / 2008,Nelas,
2007 / 2008,Oliveira de Frades,
2007 / 2008,Penalva do Castelo,
2007 / 2008,Santa Comba Dão,
2007 / 2008,São Pedro do Sul,
2007 / 2008,Sátão,
2007 / 2008,Tondela,
2007 / 2008,Vila Nova de Paiva,
2007 / 2008,Viseu,29.1
2007 / 2008,Vouzela,
2007 / 2008,Beira Baixa,29.0
2007 / 2008,Castelo Branco,34.7
2007 / 2008,Idanha-a-Nova,
2007 / 2008,Oleiros,
2007 / 2008,Penamacor,
2007 / 2008,Proença-a-Nova,
2007 / 2008,Vila Velha de Ródão,
2007 / 2008,Médio Tejo,35.4
2007 / 2008,Abrantes,49.3
2007 / 2008,Alcanena,
2007 / 2008,Constância,
2007 / 2008,Entroncamento,
2007 / 2008,Ferreira do Zêzere,
2007 / 2008,Mação,
2007 / 2008,Ourém,
2007 / 2008,Sardoal,
2007 / 2008,Sertã,
2007 / 2008,Tomar,35.4
2007 / 2008,Torres Novas,
2007 / 2008,Vila de Rei,
2007 / 2008,Vila Nova da Barquinha,
2007 / 2008,Beiras e Serra da Estrela,30.2
2007 / 2008,Almeida,
2007 / 2008,Belmonte,
2007 / 2008,Celorico da Beira,
2007 / 2008,Covilhã,36.3
2007 / 2008,Figueira de Castelo Rodrigo,
2007 / 2008,Fornos de Algodres,
2007 / 2008,Fundão,
2007 / 2008,Gouveia,
2007 / 2008,Guarda,21.6
2007 / 2008,Manteigas,
2007 / 2008,Mêda,
2007 / 2008,Pinhel,
2007 / 2008,Sabugal,
2007 / 2008,Seia,5.9
2007 / 2008,Trancoso,
2007 / 2008,Área Metropolitana de Lisboa,29.4
2007 / 2008,Área Metropolitana de Lisboa,29.4
2007 / 2008,Alcochete,
2007 / 2008,Almada,56.4
2007 / 2008,Amadora,
2007 / 2008,Barreiro,100.0
2007 / 2008,Cascais,
2007 / 2008,Lisboa,26.2
2007 / 2008,Loures,
2007 / 2008,Mafra,
2007 / 2008,Moita,
2007 / 2008,Montijo,
2007 / 2008,Odivelas,
2007 / 2008,Oeiras,40.6
2007 / 2008,Palmela,
2007 / 2008,Seixal,
2007 / 2008,Sesimbra,
2007 / 2008,Setúbal,40.1
2007 / 2008,Sintra,57.5
2007 / 2008,Vila Franca de Xira,
2007 / 2008,Alentejo,24.7
2007 / 2008,Alentejo Litoral,
2007 / 2008,Alcácer do Sal,
2007 / 2008,Grândola,
2007 / 2008,Odemira,
2007 / 2008,Santiago do Cacém,
2007 / 2008,Sines,
2007 / 2008,Baixo Alentejo,32.2
2007 / 2008,Aljustrel,
2007 / 2008,Almodôvar,
2007 / 2008,Alvito,
2007 / 2008,Barrancos,
2007 / 2008,Beja,32.2
2007 / 2008,Castro Verde,
2007 / 2008,Cuba,
2007 / 2008,Ferreira do Alentejo,
2007 / 2008,Mértola,
2007 / 2008,Moura,
2007 / 2008,Ourique,
2007 / 2008,Serpa,
2007 / 2008,Vidigueira,
2007 / 2008,Lezíria do Tejo,12.1
2007 / 2008,Almeirim,
2007 / 2008,Alpiarça,
2007 / 2008,Azambuja,
2007 / 2008,Benavente,
2007 / 2008,Cartaxo,
2007 / 2008,Chamusca,
2007 / 2008,Coruche,
2007 / 2008,Golegã,
2007 / 2008,Rio Maior,
2007 / 2008,Salvaterra de Magos,
2007 / 2008,Santarém,14.4
2007 / 2008,Alto Alentejo,14.9
2007 / 2008,Alter do Chão,
2007 / 2008,Arronches,
2007 / 2008,Avis,
2007 / 2008,Campo Maior,
2007 / 2008,Castelo de Vide,
2007 / 2008,Crato,
2007 / 2008,Elvas,1.6
2007 / 2008,Fronteira,
2007 / 2008,Gavião,
2007 / 2008,Marvão,
2007 / 2008,Monforte,
2007 / 2008,Nisa,
2007 / 2008,Ponte de Sor,
2007 / 2008,Portalegre,16.5
2007 / 2008,Sousel,
2007 / 2008,Alentejo Central,33.7
2007 / 2008,Alandroal,
2007 / 2008,Arraiolos,
2007 / 2008,Borba,
2007 / 2008,Estremoz,
2007 / 2008,Évora,33.7
2007 / 2008,Montemor-o-Novo,
2007 / 2008,Mora,
2007 / 2008,Mourão,
2007 / 2008,Portel,
2007 / 2008,Redondo,
2007 / 2008,Reguengos de Monsaraz,
2007 / 2008,Vendas Novas,
2007 / 2008,Viana do Alentejo,
2007 / 2008,Vila Viçosa,
2007 / 2008,Algarve,32.5
2007 / 2008,Algarve,32.5
2007 / 2008,Albufeira,
2007 / 2008,Alcoutim,
2007 / 2008,Aljezur,
2007 / 2008,Castro Marim,
2007 / 2008,Faro,39.5
2007 / 2008,Lagoa,
2007 / 2008,Lagos,
2007 / 2008,Loulé,5.8
2007 / 2008,Monchique,
2007 / 2008,Olhão,
2007 / 2008,Portimão,15.1
2007 / 2008,São Brás de Alportel,
2007 / 2008,Silves,
2007 / 2008,Tavira,
2007 / 2008,Vila do Bispo,
2007 / 2008,Vila Real de Santo António,
2007 / 2008,Região Autónoma dos Açores,23.5
2007 / 2008,Região Autónoma dos Açores,23.5
2007 / 2008,Região Autónoma dos Açores,23.5
2007 / 2008,Angra do Heroísmo,25.7
2007 / 2008,Calheta,
2007 / 2008,Corvo,
2007 / 2008,Horta,
2007 / 2008,Lagoa,
2007 / 2008,Lajes das Flores,
2007 / 2008,Lajes do Pico,
2007 / 2008,Madalena,
2007 / 2008,Nordeste,
2007 / 2008,Ponta Delgada,24.9
2007 / 2008,Povoação,
2007 / 2008,Ribeira Grande,
2007 / 2008,Santa Cruz da Graciosa,
2007 / 2008,Santa Cruz das Flores,
2007 / 2008,São Roque do Pico,
2007 / 2008,Velas,
2007 / 2008,Vila da Praia da Vitória,
2007 / 2008,Vila do Porto,
2007 / 2008,Vila Franca do Campo,
2007 / 2008,Região Autónoma da Madeira,27.3
2007 / 2008,Região Autónoma da Madeira,27.3
2007 / 2008,Região Autónoma da Madeira,27.3
2007 / 2008,Calheta,
2007 / 2008,Câmara de Lobos,
2007 / 2008,Funchal,27.3
2007 / 2008,Machico,
2007 / 2008,Ponta do Sol,
2007 / 2008,Porto Moniz,
2007 / 2008,Porto Santo,
2007 / 2008,Ribeira Brava,
2007 / 2008,Santa Cruz,
2007 / 2008,Santana,
2007 / 2008,São Vicente,
2006 / 2007,Portugal,30.9
2006 / 2007,Continente,31.0
2006 / 2007,Norte,30.5
2006 / 2007,Alto Minho,33.3
2006 / 2007,Arcos de Valdevez,
2006 / 2007,Caminha,
2006 / 2007,Melgaço,
2006 / 2007,Monção,
2006 / 2007,Paredes de Coura,
2006 / 2007,Ponte da Barca,
2006 / 2007,Ponte de Lima,20.1
2006 / 2007,Valença,67.1
2006 / 2007,Viana do Castelo,30.7
2006 / 2007,Vila Nova de Cerveira,90.5
2006 / 2007,Cávado,39.3
2006 / 2007,Amares,
2006 / 2007,Barcelos,5.7
2006 / 2007,Braga,42.5
2006 / 2007,Esposende,
2006 / 2007,Terras de Bouro,
2006 / 2007,Vila Verde,
2006 / 2007,Ave,20.1
2006 / 2007,Cabeceiras de Basto,
2006 / 2007,Fafe,7.2
2006 / 2007,Guimarães,
2006 / 2007,Mondim de Basto,
2006 / 2007,Póvoa de Lanhoso,
2006 / 2007,Vieira do Minho,
2006 / 2007,Vila Nova de Famalicão,36.3
2006 / 2007,Vizela,
2006 / 2007,Área Metropolitana do Porto,29.3
2006 / 2007,Arouca,
2006 / 2007,Espinho,
2006 / 2007,Gondomar,
2006 / 2007,Maia,4.0
2006 / 2007,Matosinhos,
2006 / 2007,Oliveira de Azeméis,
2006 / 2007,Paredes,3.0
2006 / 2007,Porto,37.2
2006 / 2007,Póvoa de Varzim,
2006 / 2007,Santa Maria da Feira,15.4
2006 / 2007,Santo Tirso,
2006 / 2007,São João da Madeira,
2006 / 2007,Trofa,
2006 / 2007,Vale de Cambra,
2006 / 2007,Valongo,
2006 / 2007,Vila do Conde,20.9
2006 / 2007,Vila Nova de Gaia,11.1
2006 / 2007,Alto Tâmega,
2006 / 2007,Boticas,
2006 / 2007,Chaves,
2006 / 2007,Montalegre,
2006 / 2007,Ribeira de Pena,
2006 / 2007,Valpaços,
2006 / 2007,Vila Pouca de Aguiar,
2006 / 2007,Tâmega e Sousa,27.4
2006 / 2007,Amarante,
2006 / 2007,Baião,
2006 / 2007,Castelo de Paiva,
2006 / 2007,Celorico de Basto,
2006 / 2007,Cinfães,
2006 / 2007,Felgueiras,27.4
2006 / 2007,Lousada,
2006 / 2007,Marco de Canaveses,
2006 / 2007,Paços de Ferreira,
2006 / 2007,Penafiel,
2006 / 2007,Resende,
2006 / 2007,Douro,33.7
2006 / 2007,Alijó,
2006 / 2007,Armamar,
2006 / 2007,Carrazeda de Ansiães,
2006 / 2007,Freixo de Espada à Cinta,
2006 / 2007,Lamego,7.8
2006 / 2007,Mesão Frio,
2006 / 2007,Moimenta da Beira,
2006 / 2007,Murça,
2006 / 2007,Penedono,
2006 / 2007,Peso da Régua,
2006 / 2007,Sabrosa,
2006 / 2007,Santa Marta de Penaguião,
2006 / 2007,São João da Pesqueira,
2006 / 2007,Sernancelhe,
2006 / 2007,Tabuaço,
2006 / 2007,Tarouca,
2006 / 2007,Torre de Moncorvo,
2006 / 2007,Vila Nova de Foz Côa,
2006 / 2007,Vila Real,37.3
2006 / 2007,Terras de Trás-os-Montes,26.9
2006 / 2007,Alfândega da Fé,
2006 / 2007,Bragança,38.3
2006 / 2007,Macedo de Cavaleiros,
2006 / 2007,Miranda do Douro,
2006 / 2007,Mirandela,11.4
2006 / 2007,Mogadouro,
2006 / 2007,Vila Flor,
2006 / 2007,Vimioso,
2006 / 2007,Vinhais,
2006 / 2007,Centro,34.4
2006 / 2007,Oeste,19.2
2006 / 2007,Alcobaça,
2006 / 2007,Alenquer,
2006 / 2007,Arruda dos Vinhos,
2006 / 2007,Bombarral,
2006 / 2007,Cadaval,
2006 / 2007,Caldas da Rainha,6.1
2006 / 2007,Lourinhã,
2006 / 2007,Nazaré,
2006 / 2007,Óbidos,
2006 / 2007,Peniche,38.4
2006 / 2007,Sobral de Monte Agraço,
2006 / 2007,Torres Vedras,16.5
2006 / 2007,Região de Aveiro,45.4
2006 / 2007,Águeda,26.5
2006 / 2007,Albergaria-a-Velha,
2006 / 2007,Anadia,
2006 / 2007,Aveiro,46.5
2006 / 2007,Estarreja,
2006 / 2007,Ílhavo,
2006 / 2007,Murtosa,
2006 / 2007,Oliveira do Bairro,
2006 / 2007,Ovar,
2006 / 2007,Sever do Vouga,
2006 / 2007,Vagos,
2006 / 2007,Região de Coimbra,32.5
2006 / 2007,Arganil,
