year,region,kindergarten_public,kindergarten_private,1-4_gr_public,1_4_gr_private,5_6_gr_public,5_6_gr_private,7_9_gr_public,7_9_gr_private,10_12_gr_public,10_12_gr_private,professional_certification_public,professional_certification_private
2020 / 2021,Terras de Trás-os-Montes,1111.0,879.0,2564.0,214.0,1568.0,160.0,2506.0,409.0,2640.0,1192.0,15.0,
2020 / 2021,Alfândega da Fé,42.0,18.0,109.0,,48.0,,86.0,,70.0,,,
2020 / 2021,Bragança,361.0,384.0,843.0,157.0,580.0,,892.0,59.0,1083.0,326.0,15.0,
2020 / 2021,Macedo de Cavaleiros,169.0,87.0,331.0,,183.0,16.0,340.0,32.0,360.0,169.0,,
2020 / 2021,Miranda do Douro,110.0,11.0,151.0,,83.0,,144.0,,113.0,,,
2020 / 2021,Mirandela,164.0,254.0,597.0,56.0,369.0,73.0,574.0,220.0,669.0,519.0,,
2020 / 2021,Mogadouro,70.0,60.0,175.0,1.0,105.0,71.0,149.0,98.0,150.0,178.0,,
2020 / 2021,Vila Flor,70.0,32.0,148.0,,80.0,,138.0,,103.0,,,
2020 / 2021,Vimioso,59.0,,66.0,,45.0,,58.0,,,,,
2020 / 2021,Vinhais,66.0,33.0,144.0,,75.0,,125.0,,92.0,,,
2020 / 2021,Centro,29244.0,21433.0,67650.0,4742.0,36662.0,3957.0,59875.0,7952.0,61946.0,18423.0,544.0,33.0
2020 / 2021,Oeste,5376.0,3350.0,12237.0,641.0,6390.0,1058.0,9783.0,2402.0,9424.0,3608.0,53.0,
2020 / 2021,Alcobaça,545.0,712.0,1662.0,66.0,1031.0,,1206.0,483.0,1306.0,577.0,,
2020 / 2021,Alenquer,694.0,289.0,1546.0,,907.0,,1359.0,,1276.0,188.0,,
2020 / 2021,Arruda dos Vinhos,269.0,110.0,646.0,,70.0,360.0,,793.0,,667.0,,
2020 / 2021,Bombarral,212.0,60.0,383.0,,229.0,,409.0,,415.0,,,
2020 / 2021,Cadaval,198.0,57.0,385.0,,206.0,,349.0,,210.0,,,
2020 / 2021,Caldas da Rainha,715.0,473.0,1628.0,261.0,936.0,165.0,1688.0,195.0,2023.0,545.0,34.0,
2020 / 2021,Lourinhã,452.0,197.0,975.0,,490.0,,797.0,,671.0,,,
2020 / 2021,Nazaré,244.0,105.0,478.0,3.0,249.0,6.0,370.0,57.0,164.0,286.0,,
2020 / 2021,Óbidos,248.0,64.0,422.0,,216.0,,300.0,,175.0,,19.0,
2020 / 2021,Peniche,318.0,335.0,966.0,,578.0,,874.0,35.0,633.0,89.0,,
2020 / 2021,Sobral de Monte Agraço,157.0,89.0,387.0,,257.0,,360.0,,241.0,,,
2020 / 2021,Torres Vedras,1324.0,859.0,2759.0,311.0,1221.0,527.0,2071.0,839.0,2310.0,1256.0,,
2020 / 2021,Região de Aveiro,4440.0,4661.0,12180.0,558.0,6668.0,551.0,10547.0,1075.0,10534.0,2860.0,54.0,33.0
2020 / 2021,Águeda,493.0,676.0,1539.0,74.0,826.0,29.0,1395.0,28.0,1699.0,,37.0,
2020 / 2021,Albergaria-a-Velha,279.0,298.0,783.0,62.0,418.0,80.0,681.0,121.0,512.0,386.0,,
2020 / 2021,Anadia,262.0,353.0,778.0,128.0,407.0,131.0,619.0,173.0,705.0,430.0,,
2020 / 2021,Aveiro,798.0,1433.0,2941.0,213.0,1765.0,109.0,2657.0,335.0,3283.0,880.0,17.0,33.0
2020 / 2021,Estarreja,356.0,313.0,887.0,32.0,494.0,,866.0,,795.0,,,
2020 / 2021,Ílhavo,523.0,424.0,1318.0,,706.0,,1030.0,,841.0,,,
